Date,Lat,Long,confirmed,cured,dead
2020/3/17,41.1533,20.1683,55,0,1
2020/3/18,41.1533,20.1683,59,0,2
2020/3/19,41.1533,20.1683,64,0,2
2020/3/20,41.1533,20.1683,70,0,2
2020/3/21,41.1533,20.1683,76,2,2
2020/3/22,41.1533,20.1683,89,2,2
2020/3/23,41.1533,20.1683,104,2,4
2020/3/24,41.1533,20.1683,123,10,5
2020/3/25,41.1533,20.1683,146,17,5
2020/3/26,41.1533,20.1683,174,17,6
2020/3/27,41.1533,20.1683,186,31,8
2020/3/28,41.1533,20.1683,197,31,10
2020/3/29,41.1533,20.1683,212,33,10
2020/3/30,41.1533,20.1683,223,44,11
2020/3/31,41.1533,20.1683,243,52,15
2020/4/1,41.1533,20.1683,259,67,15
2020/4/2,41.1533,20.1683,277,76,16
2020/4/3,41.1533,20.1683,304,89,17
2020/4/4,41.1533,20.1683,333,99,20
2020/4/5,41.1533,20.1683,361,104,20
2020/4/6,41.1533,20.1683,377,116,21
2020/4/7,41.1533,20.1683,383,131,22
2020/4/8,41.1533,20.1683,400,154,22
2020/4/9,41.1533,20.1683,409,165,23
2020/4/10,41.1533,20.1683,416,182,23
2020/4/11,41.1533,20.1683,433,197,23
2020/4/12,41.1533,20.1683,446,217,23
2020/4/13,41.1533,20.1683,467,232,23
2020/4/14,41.1533,20.1683,475,248,24
2020/4/15,41.1533,20.1683,494,251,25
2020/4/16,41.1533,20.1683,518,277,26
2020/4/17,41.1533,20.1683,539,283,26
2020/4/18,41.1533,20.1683,548,302,26
2020/1/22,28.0339,1.6596,0,0,0
2020/1/23,28.0339,1.6596,0,0,0
2020/1/24,28.0339,1.6596,0,0,0
2020/1/25,28.0339,1.6596,0,0,0
2020/1/26,28.0339,1.6596,0,0,0
2020/1/27,28.0339,1.6596,0,0,0
2020/1/28,28.0339,1.6596,0,0,0
2020/1/29,28.0339,1.6596,0,0,0
2020/1/30,28.0339,1.6596,0,0,0
2020/1/31,28.0339,1.6596,0,0,0
2020/2/1,28.0339,1.6596,0,0,0
2020/2/2,28.0339,1.6596,0,0,0
2020/2/3,28.0339,1.6596,0,0,0
2020/2/4,28.0339,1.6596,0,0,0
2020/2/5,28.0339,1.6596,0,0,0
2020/2/6,28.0339,1.6596,0,0,0
2020/2/7,28.0339,1.6596,0,0,0
2020/2/8,28.0339,1.6596,0,0,0
2020/2/9,28.0339,1.6596,0,0,0
2020/2/10,28.0339,1.6596,0,0,0
2020/2/11,28.0339,1.6596,0,0,0
2020/2/12,28.0339,1.6596,0,0,0
2020/2/13,28.0339,1.6596,0,0,0
2020/2/14,28.0339,1.6596,0,0,0
2020/2/15,28.0339,1.6596,0,0,0
2020/2/16,28.0339,1.6596,0,0,0
2020/2/17,28.0339,1.6596,0,0,0
2020/2/18,28.0339,1.6596,0,0,0
2020/2/19,28.0339,1.6596,0,0,0
2020/2/20,28.0339,1.6596,0,0,0
2020/2/21,28.0339,1.6596,0,0,0
2020/2/22,28.0339,1.6596,0,0,0
2020/2/23,28.0339,1.6596,0,0,0
2020/2/24,28.0339,1.6596,0,0,0
2020/2/25,28.0339,1.6596,1,0,0
2020/2/26,28.0339,1.6596,1,0,0
2020/2/27,28.0339,1.6596,1,0,0
2020/2/28,28.0339,1.6596,1,0,0
2020/2/29,28.0339,1.6596,1,0,0
2020/3/1,28.0339,1.6596,1,0,0
2020/3/2,28.0339,1.6596,3,0,0
2020/3/3,28.0339,1.6596,5,0,0
2020/3/4,28.0339,1.6596,12,0,0
2020/3/5,28.0339,1.6596,12,0,0
2020/3/6,28.0339,1.6596,17,0,0
2020/3/7,28.0339,1.6596,17,0,0
2020/3/8,28.0339,1.6596,19,0,0
2020/3/9,28.0339,1.6596,20,0,0
2020/3/10,28.0339,1.6596,20,0,0
2020/3/11,28.0339,1.6596,20,0,0
2020/3/12,28.0339,1.6596,24,8,1
2020/3/13,28.0339,1.6596,26,8,2
2020/3/14,28.0339,1.6596,37,12,3
2020/3/15,28.0339,1.6596,48,12,4
2020/3/16,28.0339,1.6596,54,12,4
2020/3/17,28.0339,1.6596,60,12,4
2020/3/18,28.0339,1.6596,74,12,7
2020/3/19,28.0339,1.6596,87,32,9
2020/3/20,28.0339,1.6596,90,32,11
2020/3/21,28.0339,1.6596,139,32,15
2020/3/22,28.0339,1.6596,201,65,17
2020/3/23,28.0339,1.6596,230,65,17
2020/3/24,28.0339,1.6596,264,24,19
2020/3/25,28.0339,1.6596,302,65,21
2020/3/26,28.0339,1.6596,367,29,25
2020/3/27,28.0339,1.6596,409,29,26
2020/3/28,28.0339,1.6596,454,31,29
2020/3/29,28.0339,1.6596,511,31,31
2020/3/30,28.0339,1.6596,584,37,35
2020/3/31,28.0339,1.6596,716,46,44
2020/4/1,28.0339,1.6596,847,61,58
2020/4/2,28.0339,1.6596,986,61,86
2020/4/3,28.0339,1.6596,1171,62,105
2020/4/4,28.0339,1.6596,1251,90,130
2020/4/5,28.0339,1.6596,1320,90,152
2020/4/6,28.0339,1.6596,1423,90,173
2020/4/7,28.0339,1.6596,1468,113,193
